fecha,Hs_m,Ts_s,Tp_s,Dir_deg,T_agua,Hmax_m,hora_utc_usada,Q_m3s,hora_usada
2023-10-25,2.01,8.9,9.5,217.4,12.58,2.74,13,34.907,10:00
2023-11-19,2.08,10.2,11.8,220.8,12.7,3.01,13,122.714,10:00
2023-11-29,1.87,7.9,8.7,226.7,13.07,3.22,13,235.764,10:00
2023-12-04,2.81,10.0,12.5,223.5,11.73,5.76,13,190.767,10:00
2023-12-09,1.87,8.3,8.7,216.8,12.69,2.97,13,202.489,10:00
2023-12-24,1.74,9.1,11.1,221.6,15.42,3.17,13,241.198,10:00
2023-12-29,0.94,10.6,11.8,229.1,16.63,1.47,13,226.81,10:00
2024-01-03,1.89,9.4,14.3,220.8,17.33,3.28,13,209.326,10:00
2024-01-08,1.88,7.4,15.4,231.9,15.49,2.76,18,211.042,10:00
2024-01-18,2.2,8.4,13.3,223.3,13.54,3.59,13,149.841,10:00
2024-02-02,1.83,9.1,12.5,216.4,19.0,2.91,13,124.081,10:00
2024-02-07,1.96,10.7,13.3,231.5,15.74,2.91,13,103.04,10:00
2024-02-12,2.07,9.5,12.5,225.0,16.32,2.91,13,88.437,10:00
2024-02-17,2.03,9.2,12.5,233.7,15.89,2.82,13,64.514,10:00
2024-03-03,2.13,8.8,9.5,216.1,16.47,3.12,13,51.221,10:00
2024-03-08,1.3,10.4,12.5,222.2,17.84,2.29,13,47.697,10:00
2024-03-13,2.5,8.9,11.1,242.8,14.78,4.24,13,43.496,10:00
2024-04-07,1.72,9.7,15.4,223.5,12.94,3.25,14,38.744,10:00
2024-04-17,2.2,13.3,14.3,223.2,13.69,3.75,14,37.229,10:00
2024-04-27,3.18,12.6,13.3,224.3,12.88,4.34,14,35.0,10:00
2024-05-12,1.09,8.4,9.1,210.5,11.91,1.75,14,58.63,10:00
2024-05-17,0.99,9.1,15.4,236.4,11.96,1.55,14,53.023,10:00
2024-06-01,0.96,9.0,11.8,235.9,12.57,1.55,14,77.096,10:00
2024-10-24,1.99,11.0,12.5,227.2,13.68,3.17,13,135.258,10:00
2024-11-08,1.63,8.8,11.1,224.5,11.79,2.23,13,105.565,10:00
2024-11-13,2.39,8.9,9.1,218.5,11.49,3.96,13,104.303,10:00
2024-11-23,1.85,12.2,14.3,238.5,12.69,2.56,13,119.979,10:00
2024-11-28,1.65,7.7,6.3,225.2,12.63,2.48,13,125.449,10:00
2024-12-03,2.53,10.1,13.3,213.2,12.86,3.96,13,90.816,10:00
2024-12-08,1.63,9.8,13.3,230.6,13.52,2.56,13,81.558,10:00
2024-12-13,1.68,7.5,7.1,226.4,13.37,2.66,13,89.627,10:00
2024-12-18,2.29,8.7,8.7,222.8,14.08,4.18,13,110.72,10:00
2024-12-23,2.37,8.2,8.7,225.4,13.36,3.61,13,109.422,10:00
2024-12-28,1.42,12.5,16.7,250.7,16.18,2.57,13,90.816,10:00
2025-01-02,2.17,9.7,9.1,224.7,15.38,3.43,13,101.778,10:00
2025-01-17,2.27,8.9,11.8,236.5,14.65,3.39,13,61.513,10:00
2025-01-22,1.71,9.8,11.8,238.5,14.55,2.69,13,54.866,10:00
2025-01-27,1.31,7.3,14.3,230.0,12.66,2.33,13,68.592,10:00
2025-02-06,1.74,7.2,7.4,229.7,13.19,2.88,13,41.898,10:00
2025-02-11,2.2,8.5,8.7,220.3,16.58,3.57,13,56.708,09:30
2025-02-16,1.55,7.3,6.5,220.8,14.61,2.3,13,47.697,10:00
2025-02-26,2.23,9.2,8.0,221.7,16.19,4.12,13,41.099,10:00
2025-03-03,1.26,14.0,14.3,239.8,16.65,2.35,13,41.898,10:00
2025-03-08,1.94,7.7,7.4,231.8,14.07,3.04,13,41.898,10:00
2025-03-13,1.71,8.3,9.1,225.8,14.29,2.95,13,35.0,10:00
2025-03-18,2.68,10.5,15.4,227.5,14.77,4.5,13,36.472,10:00
2025-03-23,3.36,10.5,10.0,223.8,14.03,6.5,13,41.099,10:00
2025-04-02,1.88,8.5,18.2,234.7,12.81,2.71,14,51.221,10:00
2025-04-07,1.41,10.0,10.5,246.9,14.07,2.33,14,51.221,10:00
2025-04-12,2.02,9.8,12.5,226.2,12.79,3.15,14,46.017,10:00
2025-04-19,1.83,9.6,11.1,219.5,12.5,2.65,14,44.336,10:00
2025-04-27,2.2,8.9,10.0,237.4,12.99,4.28,14,53.023,10:00
2025-05-02,3.36,13.5,14.3,234.0,12.38,5.1,14,51.221,10:00
2025-05-27,2.55,10.8,13.3,241.7,13.6,4.94,14,109.422,10:00
2025-06-01,2.4,11.0,14.3,232.0,11.83,3.75,14,76.019,10:00
2025-06-18,1.77,10.0,11.1,236.9,12.78,2.47,14,95.611,10:00
2025-06-26,2.64,12.1,14.3,226.9,12.57,4.53,14,83.826,10:00
2025-07-01,1.52,13.2,15.4,245.8,11.6,2.62,14,77.096,10:00
2025-07-11,2.32,10.0,16.7,228.5,11.97,4.17,14,74.941,10:00
2025-07-16,2.14,9.0,13.3,235.2,11.83,2.98,15,72.786,10:00
2025-08-20,1.63,10.7,9.5,245.3,13.45,2.43,14,62.513,10:00
2025-08-25,2.6,9.1,12.5,229.4,12.97,4.28,14,90.816,10:00
2025-09-04,2.23,9.1,14.3,230.8,12.35,3.38,14,74.941,10:00
2025-09-09,1.01,13.0,15.4,259.6,12.74,1.92,14,68.592,10:00
2025-09-19,1.4,8.9,8.7,264.2,12.89,2.14,14,53.944,10:00
2025-09-24,1.04,6.2,14.3,222.1,12.93,1.85,14,50.34,10:00
2025-09-29,3.34,11.3,13.3,230.2,12.19,5.36,14,68.592,10:00
2025-10-06,2.61,9.5,13.3,233.3,11.98,4.03,13,74.941,10:00
2025-10-09,2.51,9.7,8.7,225.8,11.73,3.64,13,37.229,10:00
2025-10-24,2.31,12.2,13.3,230.9,12.93,3.94,13,30.794,10:00
2025-10-26,2.23,9.1,13.3,227.9,11.59,3.47,13,31.466,10:00
2025-10-29,1.51,11.2,22.2,245.7,13.5,2.26,13,26.887,10:00
